style_number,size,material_type,material_qty_per_unit,unit_of_measure
M-SKINNY-LIGHT,18,Denim Fabric,0.81,meters
M-SKINNY-LIGHT,18,Pocketing Fabric,0.2,meters
M-SKINNY-LIGHT,18,Thread,100.8,meters
M-SKINNY-LIGHT,18,Button,1.0,pieces
M-SKINNY-LIGHT,18,Zipper,1.0,pieces
M-SKINNY-LIGHT,18,Rivets,6.0,pieces
M-SKINNY-LIGHT,18,Label,2.0,pieces
M-SKINNY-LIGHT,20,Denim Fabric,0.88,meters
M-SKINNY-LIGHT,20,Pocketing Fabric,0.22,meters
M-SKINNY-LIGHT,20,Thread,110.25,meters
M-SKINNY-LIGHT,20,Button,1.0,pieces
M-SKINNY-LIGHT,20,Zipper,1.0,pieces
M-SKINNY-LIGHT,20,Rivets,6.0,pieces
M-SKINNY-LIGHT,20,Label,2.0,pieces
M-SKINNY-LIGHT,22,Denim Fabric,0.96,meters
M-SKINNY-LIGHT,22,Pocketing Fabric,0.24,meters
M-SKINNY-LIGHT,22,Thread,119.7,meters
M-SKINNY-LIGHT,22,Button,1.0,pieces
M-SKINNY-LIGHT,22,Zipper,1.0,pieces
M-SKINNY-LIGHT,22,Rivets,6.0,pieces
M-SKINNY-LIGHT,22,Label,2.0,pieces
M-SKINNY-LIGHT,24,Denim Fabric,1.03,meters
M-SKINNY-LIGHT,24,Pocketing Fabric,0.26,meters
M-SKINNY-LIGHT,24,Thread,129.15,meters
M-SKINNY-LIGHT,24,Button,1.0,pieces
M-SKINNY-LIGHT,24,Zipper,1.0,pieces
M-SKINNY-LIGHT,24,Rivets,6.0,pieces
M-SKINNY-LIGHT,24,Label,2.0,pieces
M-SKINNY-LIGHT,26,Denim Fabric,1.11,meters
M-SKINNY-LIGHT,26,Pocketing Fabric,0.27,meters
M-SKINNY-LIGHT,26,Thread,138.6,meters
M-SKINNY-LIGHT,26,Button,1.0,pieces
M-SKINNY-LIGHT,26,Zipper,1.0,pieces
M-SKINNY-LIGHT,26,Rivets,6.0,pieces
M-SKINNY-LIGHT,26,Label,2.0,pieces
M-SKINNY-LIGHT,28,Denim Fabric,1.19,meters
M-SKINNY-LIGHT,28,Pocketing Fabric,0.29,meters
M-SKINNY-LIGHT,28,Thread,148.05,meters
M-SKINNY-LIGHT,28,Button,1.0,pieces
M-SKINNY-LIGHT,28,Zipper,1.0,pieces
M-SKINNY-LIGHT,28,Rivets,6.0,pieces
M-SKINNY-LIGHT,28,Label,2.0,pieces
M-SKINNY-LIGHT,30,Denim Fabric,1.26,meters
M-SKINNY-LIGHT,30,Pocketing Fabric,0.32,meters
M-SKINNY-LIGHT,30,Thread,157.5,meters
M-SKINNY-LIGHT,30,Button,1.0,pieces
M-SKINNY-LIGHT,30,Zipper,1.0,pieces
M-SKINNY-LIGHT,30,Rivets,6.0,pieces
M-SKINNY-LIGHT,30,Label,2.0,pieces
M-SKINNY-LIGHT,32,Denim Fabric,1.33,meters
M-SKINNY-LIGHT,32,Pocketing Fabric,0.34,meters
M-SKINNY-LIGHT,32,Thread,166.95,meters
M-SKINNY-LIGHT,32,Button,1.0,pieces
M-SKINNY-LIGHT,32,Zipper,1.0,pieces
M-SKINNY-LIGHT,32,Rivets,6.0,pieces
M-SKINNY-LIGHT,32,Label,2.0,pieces
M-SKINNY-LIGHT,34,Denim Fabric,1.41,meters
M-SKINNY-LIGHT,34,Pocketing Fabric,0.36,meters
M-SKINNY-LIGHT,34,Thread,176.4,meters
M-SKINNY-LIGHT,34,Button,1.0,pieces
M-SKINNY-LIGHT,34,Zipper,1.0,pieces
M-SKINNY-LIGHT,34,Rivets,6.0,pieces
M-SKINNY-LIGHT,34,Label,2.0,pieces
M-SKINNY-LIGHT,36,Denim Fabric,1.49,meters
M-SKINNY-LIGHT,36,Pocketing Fabric,0.37,meters
M-SKINNY-LIGHT,36,Thread,185.85,meters
M-SKINNY-LIGHT,36,Button,1.0,pieces
M-SKINNY-LIGHT,36,Zipper,1.0,pieces
M-SKINNY-LIGHT,36,Rivets,6.0,pieces
M-SKINNY-LIGHT,36,Label,2.0,pieces
M-SKINNY-LIGHT,38,Denim Fabric,1.56,meters
M-SKINNY-LIGHT,38,Pocketing Fabric,0.39,meters
M-SKINNY-LIGHT,38,Thread,195.3,meters
M-SKINNY-LIGHT,38,Button,1.0,pieces
M-SKINNY-LIGHT,38,Zipper,1.0,pieces
M-SKINNY-LIGHT,38,Rivets,6.0,pieces
M-SKINNY-LIGHT,38,Label,2.0,pieces
M-SKINNY-LIGHT,40,Denim Fabric,1.64,meters
M-SKINNY-LIGHT,40,Pocketing Fabric,0.41,meters
M-SKINNY-LIGHT,40,Thread,204.75,meters
M-SKINNY-LIGHT,40,Button,1.0,pieces
M-SKINNY-LIGHT,40,Zipper,1.0,pieces
M-SKINNY-LIGHT,40,Rivets,6.0,pieces
M-SKINNY-LIGHT,40,Label,2.0,pieces
M-SKINNY-LIGHT,42,Denim Fabric,1.71,meters
M-SKINNY-LIGHT,42,Pocketing Fabric,0.43,meters
M-SKINNY-LIGHT,42,Thread,214.2,meters
M-SKINNY-LIGHT,42,Button,1.0,pieces
M-SKINNY-LIGHT,42,Zipper,1.0,pieces
M-SKINNY-LIGHT,42,Rivets,6.0,pieces
M-SKINNY-LIGHT,42,Label,2.0,pieces
M-SKINNY-MEDIUM,18,Denim Fabric,0.81,meters
M-SKINNY-MEDIUM,18,Pocketing Fabric,0.2,meters
M-SKINNY-MEDIUM,18,Thread,100.8,meters
M-SKINNY-MEDIUM,18,Button,1.0,pieces
M-SKINNY-MEDIUM,18,Zipper,1.0,pieces
M-SKINNY-MEDIUM,18,Rivets,6.0,pieces
M-SKINNY-MEDIUM,18,Label,2.0,pieces
M-SKINNY-MEDIUM,20,Denim Fabric,0.88,meters
M-SKINNY-MEDIUM,20,Pocketing Fabric,0.22,meters
M-SKINNY-MEDIUM,20,Thread,110.25,meters
M-SKINNY-MEDIUM,20,Button,1.0,pieces
M-SKINNY-MEDIUM,20,Zipper,1.0,pieces
M-SKINNY-MEDIUM,20,Rivets,6.0,pieces
M-SKINNY-MEDIUM,20,Label,2.0,pieces
M-SKINNY-MEDIUM,22,Denim Fabric,0.96,meters
M-SKINNY-MEDIUM,22,Pocketing Fabric,0.24,meters
M-SKINNY-MEDIUM,22,Thread,119.7,meters
M-SKINNY-MEDIUM,22,Button,1.0,pieces
M-SKINNY-MEDIUM,22,Zipper,1.0,pieces
M-SKINNY-MEDIUM,22,Rivets,6.0,pieces
M-SKINNY-MEDIUM,22,Label,2.0,pieces
M-SKINNY-MEDIUM,24,Denim Fabric,1.03,meters
M-SKINNY-MEDIUM,24,Pocketing Fabric,0.26,meters
M-SKINNY-MEDIUM,24,Thread,129.15,meters
M-SKINNY-MEDIUM,24,Button,1.0,pieces
M-SKINNY-MEDIUM,24,Zipper,1.0,pieces
M-SKINNY-MEDIUM,24,Rivets,6.0,pieces
M-SKINNY-MEDIUM,24,Label,2.0,pieces
M-SKINNY-MEDIUM,26,Denim Fabric,1.11,meters
M-SKINNY-MEDIUM,26,Pocketing Fabric,0.27,meters
M-SKINNY-MEDIUM,26,Thread,138.6,meters
M-SKINNY-MEDIUM,26,Button,1.0,pieces
M-SKINNY-MEDIUM,26,Zipper,1.0,pieces
M-SKINNY-MEDIUM,26,Rivets,6.0,pieces
M-SKINNY-MEDIUM,26,Label,2.0,pieces
M-SKINNY-MEDIUM,28,Denim Fabric,1.19,meters
M-SKINNY-MEDIUM,28,Pocketing Fabric,0.29,meters
M-SKINNY-MEDIUM,28,Thread,148.05,meters
M-SKINNY-MEDIUM,28,Button,1.0,pieces
M-SKINNY-MEDIUM,28,Zipper,1.0,pieces
M-SKINNY-MEDIUM,28,Rivets,6.0,pieces
M-SKINNY-MEDIUM,28,Label,2.0,pieces
M-SKINNY-MEDIUM,30,Denim Fabric,1.26,meters
M-SKINNY-MEDIUM,30,Pocketing Fabric,0.32,meters
M-SKINNY-MEDIUM,30,Thread,157.5,meters
M-SKINNY-MEDIUM,30,Button,1.0,pieces
M-SKINNY-MEDIUM,30,Zipper,1.0,pieces
M-SKINNY-MEDIUM,30,Rivets,6.0,pieces
M-SKINNY-MEDIUM,30,Label,2.0,pieces
M-SKINNY-MEDIUM,32,Denim Fabric,1.33,meters
M-SKINNY-MEDIUM,32,Pocketing Fabric,0.34,meters
M-SKINNY-MEDIUM,32,Thread,166.95,meters
M-SKINNY-MEDIUM,32,Button,1.0,pieces
M-SKINNY-MEDIUM,32,Zipper,1.0,pieces
M-SKINNY-MEDIUM,32,Rivets,6.0,pieces
M-SKINNY-MEDIUM,32,Label,2.0,pieces
M-SKINNY-MEDIUM,34,Denim Fabric,1.41,meters
M-SKINNY-MEDIUM,34,Pocketing Fabric,0.36,meters
M-SKINNY-MEDIUM,34,Thread,176.4,meters
M-SKINNY-MEDIUM,34,Button,1.0,pieces
M-SKINNY-MEDIUM,34,Zipper,1.0,pieces
M-SKINNY-MEDIUM,34,Rivets,6.0,pieces
M-SKINNY-MEDIUM,34,Label,2.0,pieces
M-SKINNY-MEDIUM,36,Denim Fabric,1.49,meters
M-SKINNY-MEDIUM,36,Pocketing Fabric,0.37,meters
M-SKINNY-MEDIUM,36,Thread,185.85,meters
