order_form_no,order_date,buyer_name,buyer_location,s_no,style_number,size_18_qty,size_20_qty,size_22_qty,size_24_qty,size_26_qty,size_28_qty,size_30_qty,size_32_qty,size_34_qty,size_36_qty,size_38_qty,size_40_qty,size_42_qty,unit_price,line_item_total,total_qty_line_item
1000,2025-06-13,Silk Route Kolkata,Kolkata,1,STYLE-135,23,38,11,1,41,11,29,38,9,2,44,45,46,1271.01,429601.38,338
1000,2025-06-13,Silk Route Kolkata,Kolkata,2,STYLE-117,28,6,20,9,6,1,27,21,14,27,25,13,43,1205.24,289257.6,240
1000,2025-06-13,Silk Route Kolkata,Kolkata,3,STYLE-128,34,35,0,32,22,44,40,5,33,44,43,46,46,567.72,240713.28,424
1000,2025-06-13,Silk Route Kolkata,Kolkata,4,STYLE-139,48,28,43,13,10,44,13,34,38,9,40,15,26,686.46,247812.06,361
1000,2025-06-13,Silk Route Kolkata,Kolkata,5,STYLE-145,7,49,38,26,30,23,22,23,34,14,19,35,11,1017.58,336818.98,331
1001,2024-12-22,Elite Garments Chennai,Chennai,1,STYLE-128,37,17,19,12,44,30,35,33,50,16,48,18,49,1023.94,417767.52,408
1001,2024-12-22,Elite Garments Chennai,Chennai,2,STYLE-102,39,5,19,22,25,22,1,43,42,31,42,2,11,1164.13,353895.52,304
1001,2024-12-22,Elite Garments Chennai,Chennai,3,STYLE-104,35,22,4,12,48,43,12,22,25,45,48,29,39,590.73,226840.32,384
1001,2024-12-22,Elite Garments Chennai,Chennai,4,STYLE-132,13,44,13,28,5,18,1,44,18,2,19,37,7,1167.04,290592.96,249
1001,2024-12-22,Elite Garments Chennai,Chennai,5,STYLE-126,2,1,33,32,4,49,29,37,20,23,9,41,21,807.22,242973.22,301
1002,2025-04-06,Bindas Guntur,Guntur,1,STYLE-141,27,2,47,36,25,40,46,43,43,30,38,38,5,1146.71,481618.2,420
1002,2025-04-06,Bindas Guntur,Guntur,2,STYLE-134,8,43,14,29,49,8,20,38,4,46,30,32,10,1288.88,426619.28,331
1002,2025-04-06,Bindas Guntur,Guntur,3,STYLE-141,39,20,33,0,31,29,8,1,27,31,14,34,27,741.63,218039.22,294
1003,2025-04-16,Trendy Threads Mumbai,Mumbai,1,STYLE-141,1,20,26,50,12,17,18,1,12,9,26,7,43,1372.3,332096.6,242
1004,2024-12-19,Trendy Threads Mumbai,Mumbai,1,STYLE-106,49,28,29,48,50,15,48,7,6,33,47,19,12,850.64,332600.24,391
1004,2024-12-19,Trendy Threads Mumbai,Mumbai,2,STYLE-143,40,18,1,43,21,26,25,30,11,0,26,2,30,946.54,258405.42,273
1004,2024-12-19,Trendy Threads Mumbai,Mumbai,3,STYLE-130,38,20,22,17,20,33,12,28,32,12,18,18,0,985.0,265950.0,270
1005,2025-02-11,Silk Route Kolkata,Kolkata,1,STYLE-101,44,16,32,4,32,0,22,50,6,44,38,25,18,938.26,310564.06,331
1005,2025-02-11,Silk Route Kolkata,Kolkata,2,STYLE-123,13,18,11,22,47,0,14,38,32,21,5,35,24,1413.57,395799.6,280
1005,2025-02-11,Silk Route Kolkata,Kolkata,3,STYLE-135,31,30,6,47,5,30,31,49,32,9,8,8,9,600.77,177227.15,295
1005,2025-02-11,Silk Route Kolkata,Kolkata,4,STYLE-140,31,24,0,24,36,8,34,46,32,35,9,2,17,713.76,212700.48,298
1005,2025-02-11,Silk Route Kolkata,Kolkata,5,STYLE-119,3,2,22,5,21,0,31,47,47,28,11,14,22,1444.93,365567.29,253
1006,2025-04-09,Trendy Threads Mumbai,Mumbai,1,STYLE-134,46,35,30,23,18,27,15,27,30,9,19,42,39,540.27,194497.2,360
1006,2025-04-09,Trendy Threads Mumbai,Mumbai,2,STYLE-144,13,50,10,40,42,24,8,48,1,49,49,0,21,1322.01,469313.55,355
1006,2025-04-09,Trendy Threads Mumbai,Mumbai,3,STYLE-101,38,47,28,50,38,49,34,20,25,3,14,16,15,536.6,202298.2,377
1007,2025-01-14,Trendy Threads Mumbai,Mumbai,1,STYLE-101,26,15,8,34,42,47,47,8,38,11,35,9,5,1264.76,411047.0,325
1007,2025-01-14,Trendy Threads Mumbai,Mumbai,2,STYLE-136,31,30,0,30,1,30,10,36,33,49,10,8,26,1233.03,362510.82,294
1007,2025-01-14,Trendy Threads Mumbai,Mumbai,3,STYLE-120,42,49,36,31,39,50,11,21,30,42,29,47,25,1027.32,464348.64,452
1007,2025-01-14,Trendy Threads Mumbai,Mumbai,4,STYLE-104,29,50,46,48,47,43,4,14,25,5,26,18,49,748.44,302369.76,404
1008,2024-12-29,Bindas Guntur,Guntur,1,STYLE-107,49,41,18,3,46,31,38,15,1,12,27,16,5,706.48,213356.96,302
1008,2024-12-29,Bindas Guntur,Guntur,2,STYLE-145,32,5,1,0,36,6,46,13,46,12,14,12,46,743.21,199923.49,269
1008,2024-12-29,Bindas Guntur,Guntur,3,STYLE-106,8,47,43,29,35,40,50,3,32,37,25,30,48,1258.64,537439.28,427
1009,2025-01-25,Bindas Guntur,Guntur,1,STYLE-114,41,32,44,6,5,33,27,39,42,1,26,14,25,1192.38,399447.3,335
1009,2025-01-25,Bindas Guntur,Guntur,2,STYLE-147,28,1,26,12,27,34,29,18,13,33,41,46,11,1319.95,421064.05,319
1009,2025-01-25,Bindas Guntur,Guntur,3,STYLE-126,25,10,16,42,0,29,24,49,9,9,12,2,17,1068.56,260728.64,244
1009,2025-01-25,Bindas Guntur,Guntur,4,STYLE-146,16,47,46,16,27,37,23,48,46,8,22,27,37,523.38,209352.0,400
1009,2025-01-25,Bindas Guntur,Guntur,5,STYLE-130,6,17,36,11,14,49,45,36,31,27,2,4,40,1140.82,362780.76,318
1010,2025-05-01,Fashion Hub Delhi,Delhi,1,STYLE-134,14,39,39,3,14,3,0,19,47,39,7,47,39,842.9,261299.0,310
1010,2025-05-01,Fashion Hub Delhi,Delhi,2,STYLE-135,27,34,23,17,6,45,19,24,44,8,49,42,38,1000.57,376214.32,376
1010,2025-05-01,Fashion Hub Delhi,Delhi,3,STYLE-135,22,33,8,14,9,45,44,30,9,49,49,38,18,726.79,267458.72,368
1010,2025-05-01,Fashion Hub Delhi,Delhi,4,STYLE-111,0,17,31,8,36,39,29,12,43,31,49,27,30,573.13,201741.76,352
1011,2025-05-20,Trendy Threads Mumbai,Mumbai,1,STYLE-111,2,44,20,16,37,47,37,11,13,21,17,37,36,523.98,177105.24,338
1012,2025-05-19,Silk Route Kolkata,Kolkata,1,STYLE-115,5,28,42,34,9,6,13,42,39,1,7,42,20,956.4,275443.2,288
1012,2025-05-19,Silk Route Kolkata,Kolkata,2,STYLE-119,35,50,26,27,23,14,7,0,19,10,24,5,11,1409.43,353766.93,251
1012,2025-05-19,Silk Route Kolkata,Kolkata,3,STYLE-130,50,24,27,48,10,42,28,37,36,36,37,18,11,730.47,295109.88,404
1012,2025-05-19,Silk Route Kolkata,Kolkata,4,STYLE-130,41,29,36,34,41,35,7,13,12,21,1,49,43,1101.98,398916.76,362
1013,2024-12-25,Fashion Hub Delhi,Delhi,1,STYLE-136,4,39,8,45,37,14,32,13,32,35,1,14,4,1442.67,401062.26,278
1014,2025-04-16,Fashion Hub Delhi,Delhi,1,STYLE-126,17,2,26,1,18,18,33,14,19,13,15,38,12,952.71,215312.46,226
1014,2025-04-16,Fashion Hub Delhi,Delhi,2,STYLE-126,29,16,40,19,11,44,42,45,10,24,11,49,27,953.49,349930.83,367
1015,2025-03-22,Trendy Threads Mumbai,Mumbai,1,STYLE-125,8,15,38,17,14,36,5,33,41,21,38,18,10,1372.1,403397.4,294
1016,2025-05-11,Elite Garments Chennai,Chennai,1,STYLE-143,23,11,15,12,40,0,42,44,25,41,2,18,36,926.16,286183.44,309
1016,2025-05-11,Elite Garments Chennai,Chennai,2,STYLE-108,13,44,13,10,24,21,29,35,23,47,12,10,12,1337.84,391987.12,293
1017,2025-05-10,Fashion Hub Delhi,Delhi,1,STYLE-123,25,45,49,37,5,11,20,46,3,11,36,9,25,1403.74,452004.28,322
1017,2025-05-10,Fashion Hub Delhi,Delhi,2,STYLE-109,5,8,22,5,28,13,8,37,9,48,15,31,33,1136.7,297815.4,262
1017,2025-05-10,Fashion Hub Delhi,Delhi,3,STYLE-128,37,8,12,5,30,39,5,19,19,5,39,4,26,1049.41,260253.68,248
1017,2025-05-10,Fashion Hub Delhi,Delhi,4,STYLE-111,4,38,18,34,12,31,13,17,8,9,38,28,27,1335.55,369947.35,277
1018,2025-03-08,Bindas Guntur,Guntur,1,STYLE-112,24,42,5,45,34,14,49,40,41,29,29,19,20,1428.65,558602.15,391
1018,2025-03-08,Bindas Guntur,Guntur,2,STYLE-138,36,29,39,16,14,29,23,45,7,47,48,43,49,1022.51,434566.75,425
